# dt/s, R_Rep/ohm, I_Rep/mA, U_Rep/V, R_Geh/ohm,, I_Geh/A, U_Geh/V

00:00:00	22.6	0	0	22.6	0	0
00:08:14	25.4	99.0	10.37	26.3	2.5		1.5
00:14:15	29.1	145.9	15.29	28.3	2.7		2.0
00:19:12	33.0	172.9	18.16	31.6	5.0		4.5
00:24:15	36.9	173.4	18.23	36.0	5.0		6.5
00:28:58	40.6	173.8	18.30	40.9	4.0		6.0
00:32:11	43.0	173.9	18.31	44.1	2.2		4.0
00:38:37	47.9	147.3	18.38	48.9	2.0		2.5
00:43:22	51.3	174.3	18.41	51.4	2.0		2.5
00:49:13	55.3	174.9	18.43	54.2	3.8		6.0
00:54:45	58.9	174.8	18.45	58.2	4.4		9.0
01:00:30	62.9	174.8	18.47	69.5	3.2		6.5
01:05:09	66.3	174.9	18.47	81.3	1.0		3.0
01:10:14	70.3	174.9	18.50	82.2	0.0		0.0
01:15:15	74.0	174.9	18.50	80.7	0.0		0.0
01:20:23	77.4	175.0	18.50	79.3	0.0		0.0
01:25:19	80.5	175.0	18.50	80.6	3.0		4.5
01:31:46	84.2	175.2	18.50	83.8	2.3		4.5
01:38:23	88.0	175.3	18.50	88.0	2.3		4.5
01:44:50	91.5	175.3	19.50	91.5	2.5		5.0
01:50:24	94.8	175.3	18.51	95.0	2.2		4.5
01:56:37	98.2	175.4	18.51	98.9	2.2		4.5
02:02:33	101.9	175.4	18.50	101.5	3.0		6.0
02:08:59	105.4	175.4	18.50	106.1	3.0		5.0
02:15:10	108.9	175.6	18.50	106.2	3.0		5.0
02:18:50	111.0	175.5	18.50	111.5	3.0		5.0
